"","","","",[]
上石津SS / 桑原石油店,"",岐阜県大垣市上石津町下山2837-2,05844-5-3039,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
関平賀SS / (有)星井商店,"",岐阜県関市市平賀町355-8,0575-23-1680,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
養老SS / 古市石油(株),"",岐阜県養老郡養老町石畑1494-1,05843-2-1251,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
苗木SS / (有)浜島石油店,"",岐阜県中津川市苗木1761,05736-5-2494,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
"","","","",[]
中野方SS / (有)丸エ中の方石油,"",岐阜県恵那市中野方町2766-1,0573232346,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
カーパドック岐南SS / 丸栄石油(株),"",岐阜県羽島郡岐南町平成6-9,058-245-2349,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""サービスタイプ:フルサービス"", ""車検サービス:あり"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
セルフうずらSS / 篠田商事(株),"",岐阜県岐阜市中鶉3-16-1,058-278-7370,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""営業時間:24時間営業"", ""サービスタイプ:セルフサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
セルフ墨俣SS / 富士和商事(株),"",岐阜県大垣市墨俣町墨俣874,0584625051,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""サービスタイプ:セルフサービス"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥165   \r\n\t\t\t\t\tハイオク¥176   \r\n\t\t\t\t\t軽油¥143   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥160   \r\n\t\t\t\t\tハイオク¥171   \r\n\t\t\t\t\t軽油¥138   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
多良SS / (有)山口屋,"",岐阜県大垣市上石津町下多良631-2,05844-5-2581,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
